Title,Link,Publication Date,Authors,Abstract,Preprocess Abstract
A BCI video game using neurofeedback improves the attention of children with autism,https://link.springer.com/article/10.1007/s12193-020-00339-7,31 July 2020,"Jose Mercado, Lizbeth Escobedo, Monica Tentori","Major usability and technical challenges have created mistrust of the potential of brain computer interfaces used to control video games in challenging environments like healthcare. Despite several studies showing low cost commercial headsets can read the brainwave patterns of its users with great potential for long term adoption; there are limited studies showing its efficacy in concrete healthcare scenarios. In our past work, we developed FarmerKeeper, a BCI using users’ attention to control a runner videogame to support neurofeedback therapies with great usability and user experience. In this paper, beyond usability, we describe the results of a 10-week deployment study with 26 children with severe autism using FarmerKeeper as a tool to support the neurofeedback therapies of children with autism. Pre- and post-assessment evaluation indicate all children with autism improve their attention, attentional control and sustained attention. Two children with autism no longer showed attention impairments in the post-assessment evaluation. We closed discussing directions for future work and the potential benefits of this new generation of BCI videogames in healthcare scenarios.",major usability technical challenges created mistrust potential brain computer interfaces used control video games challenging environments like healthcare despite studies showing low cost commercial headsets read brainwave patterns users great potential long term adoption limited studies showing efficacy concrete healthcare scenarios past work developed farmerkeeper braincomputer interface using users attention control runner videogame support neurofeedback therapies great usability user experience paper usability results week deployment study children severe autism using farmerkeeper tool support neurofeedback therapies children autism pre postassessment evaluation indicate children autism improve attention attentional control sustained attention children autism longer showed attention impairments postassessment evaluation closed discussing directions future work potential benefits new generation braincomputer interface videogames healthcare scenarios
From classrooms to controllers: how school closures shaped children's video gaming habits,https://link.springer.com/article/10.1007/s00127-024-02635-z,12 March 2024,"Muna Abed Alah, Sami Abdeen, Iheb Bougmiza, Nagah Selim",This study aimed to assess the impact of COVID-19-related school closures on screen time and video gaming habits among governmental school students in Qatar and explore the prevalence of Internet Gaming Disorder (IGD) within this context.,study aimed assess impact coronavirus diseaserelated school closures screen time video gaming habits governmental school students qatar explore prevalence internet gaming disorder internet gaming disorder context
Scaffolding depth cues and perceptual learning in VR to train stereovision: a proof of concept pilot study,https://link.springer.com/article/10.1038/s41598-021-89064-z,12 May 2021,"Angelica Godinez, Santiago Martín-González, Oliver Ibarrondo, Dennis M. Levi","Stereopsis is a valuable feature of human visual perception, which may be impaired or absent in amblyopia and/or strabismus but can be improved through perceptual learning (PL) and videogames. The development of consumer virtual reality (VR) may provide a useful tool for improving stereovision. We report a proof of concept study, especially useful for strabismic patients and/or those with reduced or null stereoacuity. Our novel VR PL strategy is based on a principled approach which included aligning and balancing the perceptual input to the two eyes, dichoptic tasks, exposure to large disparities, scaffolding depth cues and perception for action. We recruited ten adults with normal vision and ten with binocular impairments. Participants played two novel PL games (DartBoard and Halloween) using a VR-HMD. Each game consisted of three depth cue scaffolding conditions, starting with non-binocular and binocular cues to depth and ending with only binocular disparity. All stereo-anomalous participants improved in the game and most (9/10) showed transfer to clinical and psychophysical stereoacuity tests (mean stereoacuity changed from 569 to 296 arc seconds, P < 0.0001). Stereo-normal participants also showed in-game improvement, which transferred to psychophysical tests (mean stereoacuity changed from 23 to a ceiling value of 20 arc seconds, P = 0.001). We conclude that a VR PL approach based on depth cue scaffolding may provide a useful method for improving stereoacuity, and the in-game performance metrics may provide useful insights into principles for effective treatment of stereo anomalies.",stereopsis valuable feature human visual perception impaired odds ratio absent amblyopia andodds ratio strabismus improved perceptual learning psycholinguistics videogames development consumer virtual reality virtual reality provide useful tool improving stereovision report proof concept study especially useful strabismic patients andodds ratio reduced odds ratio null stereoacuity novel virtual reality psycholinguistics strategy based principled approach included aligning balancing perceptual input eyes dichoptic tasks exposure large disparities scaffolding depth cues perception action recruited adults normal vision binocular impairments participants played novel psycholinguistics games dartboard halloween using virtual realityheadmounted display game consisted depth cue scaffolding conditions starting nonbinocular binocular cues depth ending binocular disparity stereoanomalous participants improved game showed transfer clinical psychophysical stereoacuity tests mean stereoacuity changed arc seconds p stereonormal participants showed ingame improvement transferred psychophysical tests mean stereoacuity changed ceiling value arc seconds p conclude virtual reality psycholinguistics approach based depth cue scaffolding provide useful method improving stereoacuity ingame performance metrics provide useful insights principles effective treatment stereo anomalies
Cross-Addiction Risk Profile Associations with COVID-19 Anxiety: a Preliminary Exploratory Study,https://link.springer.com/article/10.1007/s11469-022-00862-6,06 July 2022,"Brendan Dowd, Kaiden Hein, Stephanie L. Diez, Maria Prokofieva, Lee Kannis-Dymand, Vasileios Stavropoulos",,
A Scholar's Scientific and Culinary Odyssey through the Land of Legendary Swordsmiths and Computer-Generated Crystals,https://link.springer.com/article/10.1007/s11837-023-06110-z,30 August 2023,Damien Tourret,,
Vestibular rehabilitation potential of commercially available virtual reality video games,https://link.springer.com/article/10.1186/s40463-023-00642-9,21 August 2023,"Austin Heffernan, Lindsay Booth, Roland Fletcher, Desmond A. Nunez","Peripheral vestibular disorders affect 2.8–6.5% of people. Standard treatment is vestibular rehabilitation therapy, and virtual reality (VR) could improve outcomes. The objective of this study was to identify the commercially available VR video game that is most congruent to vestibular rehabilitation therapy.",peripheral vestibular disorders affect people standard treatment vestibular rehabilitation therapy virtual reality virtual reality improve outcomes objective study identify commercially available virtual reality video game congruent vestibular rehabilitation therapy
The influence of lifestyles to cope with stress over mental health in pregnant and postpartum women during the COVID-19 pandemic,https://link.springer.com/article/10.1007/s12144-022-03287-5,15 June 2022,"Diego Gómez-Baya, Irene Gómez-Gómez, Sara Domínguez-Salas, Carmen Rodríguez-Domínguez, Emma Motrico","The COVID-19 pandemic affected daily life routines and lifestyles of pregnant and postpartum women and increased their stress and risk of suffering from mental health problems. The aim of this study was to analyse which sociodemographic variables, COVID-19 exposure variables and lifestyles to cope with stress variables predicted anxiety, depression, and PTSD symptoms in pregnant and postpartum women during the COVID-19 pandemic. A cross-sectional design was performed with a sample of 3356 Spanish women participating in the Riseup-PPD-COVID-19 study. These participants completed an online survey composed of measures of anxiety (GAD-7), depression (EPDS), and PTSD related to COVID-19 (Checklist DSM-5), as well as demographics, exposure to COVID-19, and lifestyles to cope with stress. Regarding results, 47.2% showed depression and a third reported anxiety, whereas moderate scores were observed in PTSD symptoms. The most commonly used strategies to cope with stress in the COVID-19 pandemic were talking with friends and family and increasing time with social networks. Better results in mental health were associated with coping strategies such as talking with family and friends or participating in family activities, physical activity, sleeping well at night, eating healthier, and increasing personal care. Furthermore, poor results in mental health were observed in those participants who increased time with screens, ate fast food, reported substance use, and talked more frequently with health professionals. More symptoms were also observed in younger women, primiparous women, and those who reported more exposure to COVID-19. The results underline the need to strengthen the mental health of pregnant and postpartum women. Trial registration: ClinicalTrials.gov Identifier: NCT04595123.",coronavirus disease pandemic affected daily life routines lifestyles pregnant postpartum women increased stress risk suffering mental health problems artificial intelligence medicine study analyse sociodemographic variables coronavirus disease exposure variables lifestyles cope stress variables predicted anxiety depression posttraumatic stress disorder symptoms pregnant postpartum women coronavirus disease pandemic crosssectional design performed sample spanish women participating riseuppostpartum depressioncoronavirus disease study participants completed online survey composed measures anxiety generalized anxiety disorder depression edinburgh postnatal depression scale posttraumatic stress disorder related coronavirus disease checklist diagnostic statistical manual mental disorders demographics exposure coronavirus disease lifestyles cope stress regarding results showed depression reported anxiety moderate scores observed posttraumatic stress disorder symptoms commonly used strategies cope stress coronavirus disease pandemic talking friends family increasing time social networks better results mental health associated coping strategies talking family friends odds ratio participating family activities physical activity sleeping night eating healthier increasing personal care furthermore poor results mental health observed participants increased time screens ate fast food reported substance use talked frequently health professionals symptoms observed younger women primiparous women reported exposure coronavirus disease results underline need strengthen mental health pregnant postpartum women trial registration clinicaltrialsgov identifier nct
"Impact of immersive virtual reality games or traditional physical exercise on cardiovascular and autonomic responses, enjoyment and sleep quality: a randomized crossover study",https://link.springer.com/article/10.1007/s10055-024-00981-6,04 March 2024,"Jacobo Á. Rubio-Arias, Alberto Verdejo-Herrero, Luis Andreu-Caravaca, Domingo J. Ramos-Campo","Objectives: To assess the potential of immersive virtual reality (IVR) in achieving moderate exercise intensity, and 2) to examine the acute effects of two IVR exergame sessions (BOXVR and Beat Saber), comparing them with the impact of traditional exercise on heart rate variability (HRV), perceived effort, delayed onset muscle soreness, motivation, and sleep. Materials and methods: A crossover design was used. The participants (n = 22) randomly performed two sessions of IVR and one session of moderate intensity physical activity, each session lasting 30 min. Heart Rate (HR) and HRV, Perceived Exertion Scale, Intrinsic Motivation Inventory, sleep quality, and perceived pain, were evaluated. Results: The cardiac response to the activities was significantly higher when participants performed traditional physical activity as compared to the BOXVR and Beat Saber games. Traditional training provided a different HRV response as compared to Beat Saber (LnRMSSD, p = 0.025; SDNN, p = 0.031). Although the sessions were planned for moderate intensity, BOXVR generated a moderate intensity (49.3% HRreserve), Beat Saber (29.6% HRreserve) a light one, and the Circuit session, a vigorous one (62.9% HRreserve). In addition, traditional training reported higher perceived exertion and pain with less enjoyment. Differences were observed between the exergames. BOXVR resulted in a lower cardiac response (HRmax and HRmean), and a higher perception of exertion and pain at 72 h. The sleep variables analyzed were not altered by any of the sessions. Conclusions: BOXVR and traditional training can lead to moderate intensity physical activity. However, traditional training could result in lower adherence to physical exercise programs, as it was perceived as more intense and less enjoyable.",objectives assess potential immersive virtual reality immersive virtual reality achieving moderate exercise intensity examine acute effects immersive virtual reality exergame sessions specific vr fitness game beat saber comparing impact traditional exercise heart rate variability heart rate variability perceived effort delayed onset muscle soreness motivation sleep materials methods crossover design used participants n randomly performed sessions immersive virtual reality session moderate intensity physical activity session lasting min heart rate heart rate heart rate variability perceived exertion scale intrinsic motivation inventory sleep quality perceived pain evaluated results cardiac response activities significantly higher participants performed traditional physical activity compared specific vr fitness game beat saber games traditional training provided different heart rate variability response compared beat saber lnrmssd p standard deviation normaltonormal intervals p sessions planned moderate intensity specific vr fitness game generated moderate intensity hrreserve beat saber hrreserve light circuit session vigorous hrreserve addition traditional training reported higher perceived exertion pain enjoyment differences observed exergames specific vr fitness game resulted lower cardiac response hrmax hrmean higher perception exertion pain h sleep variables analyzed altered sessions conclusions specific vr fitness game traditional training lead moderate intensity physical activity traditional training result lower adherence physical exercise programs perceived intense enjoyable
Adolescent gambling behavior: a gender oriented prevention strategy is required?,https://link.springer.com/article/10.1186/s13052-022-01309-3,15 July 2022,"Alessandra Buja, Milena Sperotto, Bruno Genetti, Paolo Vian, Fabio Vittadello, Elisabetta Simeoni, Chiara Zampieri, Vincenzo Baldo","Studies published on gender-related differences in the gambling behavior of adolescents have focused mainly on psychological and social factors. The aim of this study was to develop separate risk factor models for male and female adolescents, considering the environmental, psychological, behavioral and socio-economic factors related to their gambling.",studies published genderrelated differences gambling behavior adolescents focused mainly psychological social factors artificial intelligence medicine study develop separate risk factor models male female adolescents considering environmental psychological behavioral socioeconomic factors related gambling
Adolescents’ electronic devices use during the COVID-19 pandemic and its relationship to anxiety and depression levels: a cross-sectional study,https://link.springer.com/article/10.1186/s12888-023-05482-5,10 January 2024,"Suha Hamshari, Shaban Yaseen, Mosab Zayed, Asala Dalasha, Beesan Maraqa, Zaher Nazzal","The aim of this study is to assess the prevalence of anxiety and depression symptoms among adolescent students in the West Bank region of Palestine, with a particular focus on the impact of electronic device usage on their mental well-being.",artificial intelligence medicine study assess prevalence anxiety depression symptoms adolescent students west bank region palestine particular focus impact electronic device usage mental wellbeing
Relationship between demographic and social variables and performance in virtual reality among healthcare personnel: an observational study,https://link.springer.com/article/10.1186/s12909-024-05180-0,04 March 2024,"Daniel Katz, Benjamin Hyers, Eric Patten, Darren Sarte, Mariano Loo, Garrett W. Burnett","Virtual reality is emerging as an important component of medical education. Although the benefits of virtual reality are apparent, the optimal strategy to orient to or differentiate learners in the virtual space have not been delineated. The purpose of this study was to investigate the relationships between demographic variables, social variables, and self-perceived comfort with technology to performance on a standardized non-medical virtual reality experience.",virtual reality emerging important component medical education benefits virtual reality apparent optimal strategy orient odds ratio differentiate learners virtual space delineated purpose study investigate relationships demographic variables social variables selfperceived comfort technology performance standardized nonmedical virtual reality experience
Revisiting the Twentieth Century Through the Lens of Generation X and Digital Games: A Scoping Review,https://link.springer.com/article/10.1007/s40869-020-00099-0,11 March 2020,"Hannah R. Marston, María del Carmen Miranda Duro","Video games have been around since the 1960s and have impacted upon society in a myriad of different ways. The purpose of this scoping review is to identify existing literature within the domain of video games which recruited participants from the Generation X (1965–1980) cohort. Six databases were searched (ACM, CINHAL Google Scholar, PubMed, Scopus, and Web of Science) focusing on published journal papers between 1970 and 2000. Search results identified 3186 articles guided by the PRISMA Extension for Scoping Reviews (PRISMA-ScR); 4 papers were irretrievable, 138 duplicated papers were removed, leaving 3048 were assessed for eligibility and 3026 were excluded. Articles (n = 22) were included into this review, with four papers primarily published in 1997 and in 1999. Thematic analysis identified five primary themes: purpose and objectives, respective authors’ reporting, technology, ethics and environment) and seven secondary themes: populations, type of participants (e.g. children, students), ethical approval, study design, reimbursement, language, type of assessments. This scoping review is distinctive because it primarily focuses on Generation X, who have experienced and grown-up with videogames, and contributes to several disciplines including: game studies, gerontology and health, and has wider implications from a societal, design and development perspective of video games.",video games s impacted society myriad different ways purpose scoping review identify existing literature domain video games recruited participants generation x cohort databases searched association computing machinery cinhal google scholar pubmed scopus web science focusing published journal papers search results identified articles guided preferred reporting items systematic reviews metaanalyses extension scoping reviews preferred reporting items systematic reviews metaanalysesscr papers irretrievable duplicated papers removed leaving assessed eligibility excluded articles n included review papers primarily published thematic analysis identified primary themes purpose objectives respective authors reporting technology ethics environment seven secondary themes populations type participants children students ethical approval study design reimbursement language type assessments scoping review distinctive primarily focuses generation x experienced grownup videogames contributes disciplines including game studies gerontology health wider implications societal design development perspective video games
The Role of Self-Esteem in Protecting Against Cyber-Victimization and Gaming Disorder Symptoms Among Adolescents: A Temporal Dynamics Analysis,https://link.springer.com/article/10.1007/s10964-023-01890-8,30 October 2023,"Qian Nie, Mark D. Griffiths, Zhaojun Teng","Previous literature has suggested that victimization is linked to low self-esteem and increases the symptoms of gaming disorder. However, little is known about the intra-individual processes, and the temporal dynamics of cyber-victimization, self-esteem, and gaming disorder symptoms. To address this gap, a three-year longitudinal study was performed using data collected at six different time points from 4206 Chinese adolescents (aged 12–17 years; 50.4% boys). Results of random intercept cross-lagged panel models (RI-CLPMs) indicated that at the within-person level, the fluctuation in self-esteem weakly predicted late cyber-victimization, and the fluctuation of cyber-victimization also weakly predicted late self-esteem. Additionally, the current study identified an interactive effect between self-esteem and gaming disorder symptoms at the within-person level. Fluctuations in self-esteem negatively predicted late gaming disorder symptoms, and vice versa. However, when combining the three variables (i.e., cyber-victimization, self-esteem, and gaming disorder symptoms) into one RI-CLPM, the results did not support the mediation of self-esteem in the relationship between cyber-victimization and gaming disorder symptoms at the within-person level. Moreover, fluctuations in self-esteem negatively predicted late gaming disorder symptoms and cyber-victimization at the within-person level in the RI-CLPM. These findings emphasize the protective role of self-esteem developed against cyber-victimization and gaming disorder symptoms among adolescents.",previous literature suggested victimization linked low selfesteem increases symptoms gaming disorder little known intraindividual processes temporal dynamics cybervictimization selfesteem gaming disorder symptoms address gap threeyear longitudinal study performed using data collected different time points chinese adolescents aged years boys results random intercept crosslagged panel models response inhibitionclpms indicated withinperson level fluctuation selfesteem weakly predicted late cybervictimization fluctuation cybervictimization weakly predicted late selfesteem additionally current study identified interactive effect selfesteem gaming disorder symptoms withinperson level fluctuations selfesteem negatively predicted late gaming disorder symptoms vice versa combining variables cybervictimization selfesteem gaming disorder symptoms response inhibitioncrosslagged panel model results did support mediation selfesteem relationship cybervictimization gaming disorder symptoms withinperson level fluctuations selfesteem negatively predicted late gaming disorder symptoms cybervictimization withinperson level response inhibitioncrosslagged panel model findings emphasize protective role selfesteem developed cybervictimization gaming disorder symptoms adolescents
"Cognitive, Metacognitive, Motivational, and Emotional Predictors of the Intensity of Internet Gaming Disorder among Adolescents",https://link.springer.com/article/10.1007/s11126-024-10075-w,01 July 2024,"Mehdi Akbari, Nima Mohammadaliha, Shahram Mohammadkhani, Mohammad Seydavi, Mark D. Griffiths","Internet gaming disorder (IGD) is multifaceted and can have significant negative consequences. The present study examined the contribution of cognitive, metacognitive, motivational, and emotional factors as predictors for IGD severity. In a cross-sectional study, 703 Iranian adolescents (36.8% females, mean age = 16.98 years [SD = 1.23]) completed an online survey. Hierarchical regression analysis showed that the cognitive, metacognitive, motivational, and emotional factors predicted 7.8%, 17.4%, 1.4%, and 1.9% of the variance in IGD symptoms, respectively. The findings indicated that the cognitive factors including some maladaptive cognitions, such as cognitive salience, regret, and perfectionism, and metacognitive factors including some maladaptive metacognitions (negative metacognitions regarding the uncontrollability of online gaming and negative metacognitions regarding the dangers of online gaming) were significant predictors of IGD severity, highlighting their importance in understanding and predicting problematic gaming behaviors. Although contributing to the variance in IGD, motivational factors (escape, coping, and skill development) and emotional factors including emotion regulation (especially reappraisal) played relatively smaller roles compared to cognitive and metacognitive factors. Of the examined predictive factors, metacognitions were the most important predictor of IGD severity. Exploratory moderator analyses showed significant interactions between three predictors of IGD (reappraisal, negative metacognitions, and cognitive salience) with loneliness, stress, anxiety, and depressive symptoms. Reappraisal was the most frequent predictor and had a significant interaction with these variables. Other predictors independently impacted IGD irrespective of the level of loneliness, stress, anxiety, or depressive symptoms. Based on these findings, special attention to metacognitive, cognitive, emotional, and motivational factors is suggested in the treatment of IGD.",internet gaming disorder internet gaming disorder multifaceted significant negative consequences present study examined contribution cognitive metacognitive motivational emotional factors predictors internet gaming disorder severity crosssectional study iranian adolescents females mean age years standard deviation completed online survey hierarchical regression analysis showed cognitive metacognitive motivational emotional factors predicted variance internet gaming disorder symptoms respectively findings indicated cognitive factors including maladaptive cognitions cognitive salience regret perfectionism metacognitive factors including maladaptive metacognitions negative metacognitions regarding uncontrollability online gaming negative metacognitions regarding dangers online gaming significant predictors internet gaming disorder severity highlighting importance understanding predicting problematic gaming behaviors contributing variance internet gaming disorder motivational factors escape coping skill development emotional factors including emotion regulation especially reappraisal played relatively smaller roles compared cognitive metacognitive factors examined predictive factors metacognitions important predictor internet gaming disorder severity exploratory moderator analyses showed significant interactions predictors internet gaming disorder reappraisal negative metacognitions cognitive salience loneliness stress anxiety depressive symptoms reappraisal frequent predictor significant interaction variables predictors independently impacted internet gaming disorder irrespective level loneliness stress anxiety odds ratio depressive symptoms based findings special attention metacognitive cognitive emotional motivational factors suggested treatment internet gaming disorder
Orthodontic patients and the information found on the web: a cross-sectional study,https://link.springer.com/article/10.1186/s12903-023-03609-4,13 November 2023,"Roberta Crispino, Alice Mannocci, Irene Alfonsa Dilena, Jackson Sides, Federico Forchini, Wael Mohammad Asif Alherawi, Sylvia A. Frazier-Bowers, Cristina Grippaudo","In recent years, the Web has become a source of medical information for patients, even though the information available online may be incorrect or qualitatively inadequate. Younger generations, immersed in a digital environment since a very tender age, are more likely to get informed online. This study aims to understand the relevance of online information for prospective orthodontic patients and to investigate the effects of digital research on patients’ decision-making process, and it also aims to investigate potential generational differences between digital natives and digital immigrants.",recent years web source medical information patients information available online incorrect odds ratio qualitatively inadequate younger generations immersed digital environment tender age likely informed online study aims understand relevance online information prospective orthodontic patients investigate effects digital research patients decisionmaking process aims investigate potential generational differences digital natives digital immigrants
Effects and acceptability of virtual reality to facilitate mindfulness practice in university students,https://link.springer.com/article/10.1007/s12528-023-09393-y,17 December 2023,"Marta Modrego-Alarcón, Héctor Morillo, Daniel Campos, María Teresa Navarro-Gil, Jesús Montero-Marín, Alicia Monreal-Bartolomé, Javier García-Campayo, Yolanda López-Del-Hoyo","Mindfulness practices have proven to be effective for improving the mental health of many populations, including university students. However, these practices can be challenging for naive meditators. Virtual reality (VR) can create virtual scenarios that facilitate the practice of mindfulness. This study presents secondary data from a randomized controlled trial on the effects and acceptability of mindfulness-based VR environments conducted with a sample of university students. Specifically, it involved a single condition (n = 93) receiving an intervention that comprised six short mindfulness sessions in VR. Measurements were taken of participants’ state mindfulness and emotional state immediately before and after the implementation of each VR environment. Sense of presence was measured subsequent to each VR environment. Furthermore, participants were asked to rate their expectations for at baseline and satisfaction with the experience after the intervention. Participants significantly improved both state mindfulness and emotional states, and they reported a moderate-to-strong sense of presence in each of the VR environments. Moreover, participants reported high expectation and satisfaction scores for the intervention. This study shows the potential of VR in mindfulness, although there is a need for more research in this area and, in particular, more sophisticated trial designs.",mindfulness practices proven effective improving mental health populations including university students practices challenging naive meditators virtual reality virtual reality create virtual scenarios facilitate practice mindfulness study presents secondary data randomized controlled trial effects acceptability mindfulnessbased virtual reality environments conducted sample university students specifically involved single condition n receiving intervention comprised short mindfulness sessions virtual reality measurements taken participants state mindfulness emotional state immediately implementation virtual reality environment sense presence measured subsequent virtual reality environment furthermore participants asked rate expectations baseline satisfaction experience intervention participants significantly improved state mindfulness emotional states reported moderatetostrong sense presence virtual reality environments participants reported high expectation satisfaction scores intervention study shows potential virtual reality mindfulness need research area particular sophisticated trial designs
Association between sedentary behavior and bone mass in adolescents,https://link.springer.com/article/10.1007/s00198-020-05412-1,28 April 2020,"A. Pelegrini, J. A. Klen, A. M. Costa, M. A. Bim, G. S. Claumann, H. C. C. De Angelo, A. de Araújo Pinto","The effects of sedentary behavior on adolescents’ bone health are controversial because, even in normal weight individuals, the excessive time spent in some specific types of these behaviors appears to have no negative effect on bone health.",effects sedentary behavior adolescents bone health controversial normal weight individuals excessive time spent specific types behaviors appears negative effect bone health
Multisensory GPS impact on spatial representation in an immersive virtual reality driving game,https://link.springer.com/article/10.1038/s41598-022-11124-9,05 May 2022,"Laura Seminati, Jacob Hadnett-Hunter, Richard Joiner, Karin Petrini","Individuals are increasingly relying on GPS devices to orient and find their way in their environment and research has pointed to a negative impact of navigational systems on spatial memory. We used immersive virtual reality to examine whether an audio–visual navigational aid can counteract the negative impact of visual only or auditory only GPS systems. We also examined the effect of spatial representation preferences and abilities when using different GPS systems. Thirty-four participants completed an IVR driving game including 4 GPS conditions (No GPS; audio GPS; visual GPS; audio–visual GPS). After driving one of the routes in one of the 4 GPS conditions, participants were asked to drive to a target landmark they had previously encountered. The audio–visual GPS condition returned more accurate performance than the visual and no GPS condition. General orientation ability predicted the distance to the target landmark for the visual and the audio–visual GPS conditions, while landmark preference predicted performance in the audio GPS condition. Finally, the variability in end distance to the target landmark was significantly reduced in the audio–visual GPS condition when compared to the visual and audio GPS conditions. These findings support theories of spatial cognition and inform the optimisation of GPS designs.",individuals increasingly relying global positioning devices orient way environment research pointed negative impact navigational systems spatial memory used immersive virtual reality examine audiovisual navigational aid counteract negative impact visual odds ratio auditory global positioning systems examined effect spatial representation preferences abilities using different global positioning systems thirtyfour participants completed immersive virtual reality driving game including global positioning conditions global positioning audio global positioning visual global positioning audiovisual global positioning driving routes global positioning conditions participants asked drive target landmark previously encountered audiovisual global positioning condition returned accurate performance visual global positioning condition general orientation ability predicted distance target landmark visual audiovisual global positioning conditions landmark preference predicted performance audio global positioning condition finally variability end distance target landmark significantly reduced audiovisual global positioning condition compared visual audio global positioning conditions findings support theories spatial cognition inform optimisation global positioning designs
"Direct and indirect effects of physiological, psychological and cognitive variables on academic achievement in children",https://link.springer.com/article/10.1038/s41390-024-03322-0,28 June 2024,"María Eugenia Visier-Alfonso, Laura Ros-Segura, Mairena Sánchez-López, Estela Jiménez-López, Vicente Martínez-Vizcaíno","Associations between cardiorespiratory fitness (CRF), screen time, psychological well-being, executive functions, and academic achievement have been reported, however, few studies have analysed models considering the effect of all these variables on academic achievement. This study aims to analyse the direct and indirect associations of mothers’ education level, CRF, screen time, psychological well-being, executive functions, with academic achievement in schoolchildren, by sex.",associations cardiorespiratory fitness cardiorespiratory fitness screen time psychological wellbeing executive functions academic achievement reported studies analysed models considering effect variables academic achievement study aims analyse direct indirect associations mothers education level cardiorespiratory fitness screen time psychological wellbeing executive functions academic achievement schoolchildren sex
Prenatal and childhood exposure to chlordecone and adiposity of seven-year-old children in the Timoun mother–child cohort study in Guadeloupe (French West Indies),https://link.springer.com/article/10.1186/s12940-022-00850-2,19 April 2022,"Nathalie Costet, Antoine Lafontaine, Florence Rouget, Léah Michineau, Christine Monfort, Jean-Pierre Thomé, Philippe Kadhel, Luc Multigner, Sylvaine Cordier",Exposure to persistent environmental organic pollutants may contribute to the development of obesity among children. Chlordecone is a persistent organochlorine insecticide with estrogenic properties that was used in the French West Indies (1973–1993) and is still present in the soil and the water and food consumed by the local population. We studied the association between prenatal and childhood exposure to chlordecone and the adiposity of prepubertal children.,exposure persistent environmental organic pollutants contribute development obesity children chlordecone persistent organochlorine insecticide estrogenic properties used french west indies present soil water food consumed local population studied association prenatal childhood exposure chlordecone adiposity prepubertal children
Associations between Social Experiences and Psychological Health for Autistic Youth with Low IQ,https://link.springer.com/article/10.1007/s10803-024-06378-3,04 May 2024,"Julie Lounds Taylor, Virginia Sullivan, Somer L. Bishop, Shuting Zheng, Ryan E. Adams","Social experiences are consistently associated with psychological health among autistic individuals. However, most extant studies on this topic exclude individuals with autism who have lower IQ or are otherwise unable to self-report. The current study addresses this gap by examining associations of negative peer experiences and social participation with psychological health among autistic youth with low IQ.",social experiences consistently associated psychological health autistic individuals extant studies topic exclude individuals autism lower intelligence quotient odds ratio unable selfreport current study addresses gap examining associations negative peer experiences social participation psychological health autistic youth low intelligence quotient
Transparency in Cognitive Training Meta-analyses: A Meta-review,https://link.springer.com/article/10.1007/s11065-024-09638-2,19 April 2024,"Alejandro Sandoval-Lentisco, Rubén López-Nicolás, Miriam Tortajada, José Antonio López-López, Julio Sánchez-Meca","Meta-analyses often present flexibility regarding their inclusion criteria, outcomes of interest, statistical analyses, and assessments of the primary studies. For this reason, it is necessary to transparently report all the information that could impact the results. In this meta-review, we aimed to assess the transparency of meta-analyses that examined the benefits of cognitive training, given the ongoing controversy that exists in this field. Ninety-seven meta-analytic reviews were included, which examined a wide range of populations with different clinical conditions and ages. Regarding the reporting, information about the search of the studies, screening procedure, or data collection was detailed by most reviews. However, authors usually failed to report other aspects such as the specific meta-analytic parameters, the formula used to compute the effect sizes, or the data from primary studies that were used to compute the effect sizes. Although some of these practices have improved over the years, others remained the same. Moreover, examining the eligibility criteria of the reviews revealed a great heterogeneity in aspects such as the training duration, age cut-offs, or study designs that were considered. Preregistered meta-analyses often specified poorly how they would deal with the multiplicity of data or assess publication bias in their protocols, and some contained non-disclosed deviations in their eligibility criteria or outcomes of interests. The findings shown here, although they do not question the benefits of cognitive training, illustrate important aspects that future reviews must consider.",metaanalyses present flexibility regarding inclusion criteria outcomes statistical analyses assessments primary studies reason necessary transparently report information impact results metareview aimed assess transparency metaanalyses examined benefits cognitive training given ongoing controversy exists field ninetyseven metaanalytic reviews included examined wide range populations different clinical conditions ages regarding reporting information search studies screening procedure odds ratio data collection detailed reviews authors usually failed report aspects specific metaanalytic parameters formula used compute effect sizes odds ratio data primary studies used compute effect sizes practices improved years remained examining eligibility criteria reviews revealed great heterogeneity aspects training duration age cutoffs odds ratio study designs considered preregistered metaanalyses specified poorly deal multiplicity data odds ratio assess publication bias protocols contained nondisclosed deviations eligibility criteria odds ratio outcomes interests findings shown question benefits cognitive training illustrate important aspects future reviews consider
“TELL ME WHAT YOU THINK:” A REFLECTION ON JEREMY SAFRAN’S APPROACH TO PEDAGOGY,https://link.springer.com/article/10.1057/s11231-024-09471-9,06 August 2024,Alexander Kriss,"The author reflects on how his relationship with Jeremy Safran during graduate school continues to inform his thinking around pedagogy and clinical training. Safran’s emphasis on independent inquiry is highlighted, especially regarding the importance of seeking out perspectives and evidence that come into conflict with one’s primary orientation. The author argues that Safran’s pedagogical stance could be described as inhabiting a state of “pre-judgment,” which is essential in both clinical and pedagogical contexts in the psychoanalytic field.",author reflects relationship jeremy safran graduate school continues inform thinking pedagogy clinical training safrans emphasis independent inquiry highlighted especially regarding importance seeking perspectives evidence come conflict ones primary orientation author argues safrans pedagogical stance described inhabiting state prejudgment essential clinical pedagogical contexts psychoanalytic field
